i,date,equity,fit
0,2021-06-24,-14.8,-2999.6
1,2021-06-24,-23.8,-2997.7
2,2021-06-24,-24.5,-2995.9
3,2021-06-24,-58.8,-2994.1
4,2021-06-24,-75.0,-2992.2
5,2021-06-25,-58.8,-2990.4
6,2021-07-01,-64.8,-2988.6
7,2021-07-01,-81.2,-2986.7
8,2021-07-01,-80.2,-2984.9
9,2021-07-01,-53.5,-2983.1
10,2021-07-01,-42.2,-2981.2
11,2021-07-06,-20.2,-2979.4
12,2021-07-06,-50.2,-2977.6
13,2021-07-06,-59.8,-2975.7
14,2021-07-06,-29.8,-2973.9
15,2021-07-07,-24.2,-2972.1
16,2021-07-07,-54.2,-2970.3
17,2021-07-07,-50.2,-2968.4
18,2021-07-07,-61.2,-2966.6
19,2021-07-07,-91.2,-2964.8
20,2021-07-08,-121.2,-2962.9
21,2021-07-08,-88.8,-2961.1
22,2021-07-08,-79.0,-2959.3
23,2021-07-08,-76.8,-2957.4
24,2021-07-08,-93.2,-2955.6
25,2021-07-08,-63.8,-2953.8
26,2021-07-08,-32.2,-2951.9
27,2021-07-08,-6.5,-2950.1
28,2021-07-08,-44.2,-2948.3
29,2021-07-08,-19.8,-2946.4
30,2021-07-08,-18.8,-2944.6
31,2021-07-09,-10.2,-2942.8
32,2021-07-09,-33.0,-2940.9
33,2021-07-09,-26.0,-2939.1
34,2021-07-13,-31.5,-2937.3
35,2021-07-13,-8.8,-2935.5
36,2021-07-13,-38.8,-2933.6
37,2021-07-14,-68.8,-2931.8
38,2021-07-14,-90.8,-2930.0
39,2021-07-14,-85.2,-2928.1
40,2021-07-15,-65.0,-2926.3
41,2021-07-15,-42.5,-2924.5
42,2021-07-15,-92.5,-2922.6
43,2021-07-15,-91.0,-2920.8
44,2021-07-16,-121.0,-2919.0
45,2021-07-19,-117.8,-2917.1
46,2021-07-19,-147.8,-2915.3
47,2021-07-19,-141.0,-2913.5
48,2021-07-19,-133.2,-2911.6
49,2021-07-19,-108.8,-2909.8
50,2021-07-19,-101.8,-2908.0
51,2021-07-20,-121.8,-2906.2
52,2021-07-20,-115.8,-2904.3
53,2021-07-22,-112.8,-2902.5
54,2021-07-23,-116.8,-2900.7
55,2021-07-23,-112.2,-2898.8
56,2021-07-26,-109.5,-2897.0
57,2021-07-27,-139.5,-2895.2
58,2021-07-27,-114.0,-2893.3
59,2021-07-27,-92.5,-2891.5
60,2021-07-27,-142.5,-2889.7
61,2021-07-27,-182.2,-2887.8
62,2021-07-27,-201.0,-2886.0
63,2021-07-27,-231.0,-2884.2
64,2021-07-27,-205.5,-2882.3
65,2021-07-28,-227.2,-2880.5
66,2021-07-28,-259.2,-2878.7
67,2021-07-28,-269.8,-2876.9
68,2021-07-28,-266.0,-2875.0
69,2021-07-28,-316.0,-2873.2
70,2021-07-28,-346.0,-2871.4
71,2021-07-28,-339.8,-2869.5
72,2021-07-28,-356.0,-2867.7
73,2021-07-28,-386.0,-2865.9
74,2021-07-28,-353.2,-2864.0
75,2021-07-29,-336.0,-2862.2
76,2021-07-29,-324.5,-2860.4
77,2021-07-30,-310.2,-2858.5
78,2021-08-02,-287.2,-2856.7
79,2021-08-02,-276.8,-2854.9
80,2021-08-02,-306.8,-2853.0
81,2021-08-02,-315.8,-2851.2
82,2021-08-02,-317.0,-2849.4
83,2021-08-02,-316.2,-2847.6
84,2021-08-02,-332.5,-2845.7
85,2021-08-02,-357.0,-2843.9
86,2021-08-03,-387.0,-2842.1
87,2021-08-03,-384.5,-2840.2
88,2021-08-03,-369.0,-2838.4
89,2021-08-03,-419.0,-2836.6
90,2021-08-04,-416.5,-2834.7
91,2021-08-06,-406.5,-2832.9
92,2021-08-06,-405.0,-2831.1
93,2021-08-08,-402.8,-2829.2
94,2021-08-10,-432.8,-2827.4
95,2021-08-10,-410.0,-2825.6
96,2021-08-10,-448.8,-2823.7
97,2021-08-10,-435.5,-2821.9
98,2021-08-11,-465.5,-2820.1
99,2021-08-11,-454.5,-2818.3
100,2021-08-12,-488.2,-2816.4
101,2021-08-12,-497.2,-2814.6
102,2021-08-12,-514.2,-2812.8
103,2021-08-12,-513.2,-2810.9
104,2021-08-13,-497.5,-2809.1
105,2021-08-16,-478.0,-2807.3
106,2021-08-16,-508.0,-2805.4
107,2021-08-16,-495.5,-2803.6
108,2021-08-16,-523.0,-2801.8
109,2021-08-16,-531.5,-2799.9
110,2021-08-16,-543.2,-2798.1
111,2021-08-16,-533.8,-2796.3
112,2021-08-16,-543.5,-2794.4
113,2021-08-17,-538.2,-2792.6
114,2021-08-17,-565.0,-2790.8
115,2021-08-17,-535.8,-2788.9
116,2021-08-17,-522.8,-2787.1
117,2021-08-18,-498.8,-2785.3
118,2021-08-18,-473.2,-2783.5
119,2021-08-18,-450.8,-2781.6
120,2021-08-18,-441.0,-2779.8
121,2021-08-18,-471.0,-2778.0
122,2021-08-19,-499.5,-2776.1
123,2021-08-19,-498.2,-2774.3
124,2021-08-19,-520.0,-2772.5
125,2021-08-19,-522.2,-2770.6
126,2021-08-19,-513.5,-2768.8
127,2021-08-19,-491.2,-2767.0
128,2021-08-19,-510.0,-2765.1
129,2021-08-19,-483.2,-2763.3
130,2021-08-19,-478.0,-2761.5
131,2021-08-19,-452.2,-2759.6
132,2021-08-19,-465.5,-2757.8
133,2021-08-19,-502.5,-2756.0
134,2021-08-19,-512.0,-2754.2
135,2021-08-20,-511.2,-2752.3
136,2021-08-20,-487.0,-2750.5
137,2021-08-20,-514.2,-2748.7
138,2021-08-20,-499.2,-2746.8
139,2021-08-20,-511.8,-2745.0
140,2021-08-20,-503.5,-2743.2
141,2021-08-23,-522.8,-2741.3
142,2021-08-23,-503.2,-2739.5
143,2021-08-24,-502.5,-2737.7
144,2021-08-26,-532.5,-2735.8
145,2021-08-26,-532.0,-2734.0
146,2021-08-26,-526.2,-2732.2
147,2021-08-27,-493.2,-2730.3
148,2021-08-27,-483.2,-2728.5
149,2021-08-27,-479.2,-2726.7
150,2021-08-30,-502.2,-2724.9
151,2021-08-30,-488.8,-2723.0
152,2021-08-31,-500.5,-2721.2
153,2021-08-31,-492.5,-2719.4
154,2021-08-31,-485.8,-2717.5
155,2021-09-01,-483.0,-2715.7
156,2021-09-03,-467.0,-2713.9
157,2021-09-03,-452.8,-2712.0
158,2021-09-07,-444.0,-2710.2
159,2021-09-08,-474.0,-2708.4
160,2021-09-08,-482.2,-2706.5
161,2021-09-08,-515.8,-2704.7
162,2021-09-08,-545.8,-2702.9
163,2021-09-09,-529.5,-2701.0
164,2021-09-09,-542.2,-2699.2
165,2021-09-09,-535.8,-2697.4
166,2021-09-09,-526.0,-2695.6
167,2021-09-10,-512.8,-2693.7
168,2021-09-10,-540.5,-2691.9
169,2021-09-10,-540.0,-2690.1
170,2021-09-10,-538.2,-2688.2
171,2021-09-10,-568.2,-2686.4
172,2021-09-13,-557.0,-2684.6
173,2021-09-13,-587.0,-2682.7
174,2021-09-13,-583.8,-2680.9
175,2021-09-13,-585.2,-2679.1
176,2021-09-13,-571.8,-2677.2
177,2021-09-13,-570.8,-2675.4
178,2021-09-14,-541.8,-2673.6
179,2021-09-14,-559.0,-2671.7
180,2021-09-14,-585.0,-2669.9
181,2021-09-14,-559.2,-2668.1
182,2021-09-14,-537.5,-2666.3
183,2021-09-15,-573.8,-2664.4
184,2021-09-15,-563.2,-2662.6
185,2021-09-16,-575.8,-2660.8
186,2021-09-16,-571.0,-2658.9
187,2021-09-16,-547.5,-2657.1
188,2021-09-17,-563.0,-2655.3
189,2021-09-17,-556.8,-2653.4
190,2021-09-19,-563.8,-2651.6
191,2021-09-19,-540.0,-2649.8
192,2021-09-20,-518.5,-2647.9
193,2021-09-20,-548.5,-2646.1
194,2021-09-20,-572.8,-2644.3
195,2021-09-20,-585.2,-2642.4
196,2021-09-20,-555.0,-2640.6
197,2021-09-20,-547.5,-2638.8
198,2021-09-20,-597.5,-2637.0
199,2021-09-20,-614.8,-2635.1
200,2021-09-20,-638.0,-2633.3
201,2021-09-20,-634.0,-2631.5
202,2021-09-21,-655.0,-2629.6
203,2021-09-21,-654.8,-2627.8
204,2021-09-21,-684.8,-2626.0
205,2021-09-21,-673.8,-2624.1
206,2021-09-21,-644.2,-2622.3
207,2021-09-21,-621.8,-2620.5
208,2021-09-21,-671.8,-2618.6
209,2021-09-21,-665.2,-2616.8
210,2021-09-22,-661.2,-2615.0
211,2021-09-22,-635.0,-2613.1
212,2021-09-22,-611.0,-2611.3
213,2021-09-22,-641.0,-2609.5
214,2021-09-22,-691.0,-2607.6
215,2021-09-22,-688.2,-2605.8
216,2021-09-23,-713.8,-2604.0
217,2021-09-23,-708.0,-2602.2
218,2021-09-23,-689.5,-2600.3
219,2021-09-23,-692.5,-2598.5
220,2021-09-23,-691.5,-2596.7
221,2021-09-23,-668.5,-2594.8
222,2021-09-24,-643.8,-2593.0
223,2021-09-26,-655.2,-2591.2
224,2021-09-26,-644.5,-2589.3
225,2021-09-27,-660.5,-2587.5
226,2021-09-27,-670.0,-2585.7
227,2021-09-27,-693.5,-2583.8
228,2021-09-27,-667.5,-2582.0
229,2021-09-27,-705.5,-2580.2
230,2021-09-27,-690.2,-2578.3
231,2021-09-27,-686.2,-2576.5
232,2021-09-27,-673.5,-2574.7
233,2021-09-27,-666.0,-2572.9
234,2021-09-28,-696.0,-2571.0
235,2021-09-28,-684.5,-2569.2
236,2021-09-28,-714.5,-2567.4
237,2021-09-28,-725.0,-2565.5
238,2021-09-28,-738.8,-2563.7
239,2021-09-28,-715.5,-2561.9
240,2021-09-28,-691.8,-2560.0
241,2021-09-28,-721.8,-2558.2
242,2021-09-28,-694.8,-2556.4
243,2021-09-28,-744.8,-2554.5
244,2021-09-28,-722.0,-2552.7
245,2021-09-28,-700.8,-2550.9
246,2021-09-28,-730.8,-2549.0
247,2021-09-28,-757.8,-2547.2
248,2021-09-28,-807.8,-2545.4
249,2021-09-28,-825.5,-2543.6
250,2021-09-28,-813.5,-2541.7
251,2021-09-28,-843.5,-2539.9
252,2021-09-28,-867.2,-2538.1
253,2021-09-28,-870.5,-2536.2
254,2021-09-28,-862.0,-2534.4
255,2021-09-28,-861.5,-2532.6
256,2021-09-29,-860.8,-2530.7
257,2021-09-29,-854.8,-2528.9
258,2021-09-29,-849.2,-2527.1
259,2021-09-29,-818.0,-2525.2
260,2021-09-29,-848.0,-2523.4
261,2021-09-29,-820.8,-2521.6
262,2021-09-29,-794.8,-2519.7
263,2021-09-29,-815.0,-2517.9
264,2021-09-29,-807.2,-2516.1
265,2021-09-29,-837.2,-2514.3
266,2021-09-30,-825.8,-2512.4
267,2021-09-30,-855.8,-2510.6
268,2021-09-30,-835.5,-2508.8
269,2021-09-30,-821.0,-2506.9
270,2021-09-30,-851.0,-2505.1
271,2021-09-30,-866.0,-2503.3
272,2021-09-30,-840.0,-2501.4
273,2021-09-30,-840.5,-2499.6
274,2021-09-30,-814.0,-2497.8
275,2021-09-30,-813.8,-2495.9
276,2021-09-30,-843.8,-2494.1
277,2021-09-30,-873.8,-2492.3
278,2021-09-30,-857.8,-2490.4
279,2021-10-01,-851.0,-2488.6
280,2021-10-01,-828.0,-2486.8
281,2021-10-01,-822.0,-2485.0
282,2021-10-01,-860.0,-2483.1
283,2021-10-01,-846.0,-2481.3
284,2021-10-01,-876.0,-2479.5
285,2021-10-01,-871.5,-2477.6
286,2021-10-01,-898.2,-2475.8
287,2021-10-01,-917.2,-2474.0
288,2021-10-01,-921.8,-2472.1
289,2021-10-01,-917.2,-2470.3
290,2021-10-01,-944.8,-2468.5
291,2021-10-01,-938.0,-2466.6
292,2021-10-01,-963.5,-2464.8
293,2021-10-01,-1007.2,-2463.0
294,2021-10-01,-1037.2,-2461.1
295,2021-10-03,-1014.5,-2459.3
296,2021-10-03,-1005.0,-2457.5
297,2021-10-04,-1001.5,-2455.6
298,2021-10-04,-988.5,-2453.8
299,2021-10-04,-1018.5,-2452.0
300,2021-10-04,-990.2,-2450.2
301,2021-10-04,-980.5,-2448.3
302,2021-10-04,-946.8,-2446.5
303,2021-10-04,-911.8,-2444.7
304,2021-10-04,-922.5,-2442.8
305,2021-10-04,-922.2,-2441.0
306,2021-10-04,-920.5,-2439.2
307,2021-10-05,-951.0,-2437.3
308,2021-10-05,-927.8,-2435.5
309,2021-10-05,-915.2,-2433.7
310,2021-10-05,-902.2,-2431.8
311,2021-10-05,-925.0,-2430.0
312,2021-10-05,-929.5,-2428.2
313,2021-10-05,-898.2,-2426.3
314,2021-10-06,-887.0,-2424.5
315,2021-10-06,-902.0,-2422.7
316,2021-10-06,-904.2,-2420.9
317,2021-10-06,-933.8,-2419.0
318,2021-10-06,-918.2,-2417.2
319,2021-10-06,-910.2,-2415.4
320,2021-10-06,-960.2,-2413.5
321,2021-10-06,-936.2,-2411.7
322,2021-10-06,-912.2,-2409.9
323,2021-10-06,-962.2,-2408.0
324,2021-10-06,-935.5,-2406.2
325,2021-10-06,-933.8,-2404.4
326,2021-10-06,-929.2,-2402.5
327,2021-10-07,-941.0,-2400.7
328,2021-10-07,-933.8,-2398.9
329,2021-10-07,-919.0,-2397.0
330,2021-10-08,-900.0,-2395.2
331,2021-10-08,-882.8,-2393.4
332,2021-10-08,-858.0,-2391.6
333,2021-10-08,-870.2,-2389.7
334,2021-10-08,-866.5,-2387.9
335,2021-10-11,-841.8,-2386.1
336,2021-10-11,-828.2,-2384.2
337,2021-10-11,-851.2,-2382.4
338,2021-10-11,-881.2,-2380.6
339,2021-10-11,-857.8,-2378.7
340,2021-10-11,-876.0,-2376.9
341,2021-10-11,-891.5,-2375.1
342,2021-10-11,-888.5,-2373.2
343,2021-10-12,-872.8,-2371.4
344,2021-10-12,-866.0,-2369.6
345,2021-10-12,-865.8,-2367.7
346,2021-10-12,-843.0,-2365.9
347,2021-10-12,-868.2,-2364.1
348,2021-10-12,-843.0,-2362.3
349,2021-10-12,-852.8,-2360.4
350,2021-10-12,-851.0,-2358.6
351,2021-10-12,-838.5,-2356.8
352,2021-10-12,-809.2,-2354.9
353,2021-10-12,-777.5,-2353.1
354,2021-10-13,-775.5,-2351.3
355,2021-10-13,-766.8,-2349.4
356,2021-10-13,-757.2,-2347.6
357,2021-10-13,-728.5,-2345.8
358,2021-10-14,-733.2,-2343.9
359,2021-10-14,-730.8,-2342.1
360,2021-10-14,-721.0,-2340.3
361,2021-10-15,-715.5,-2338.4
362,2021-10-15,-712.8,-2336.6
363,2021-10-17,-708.8,-2334.8
364,2021-10-18,-707.2,-2333.0
365,2021-10-20,-733.0,-2331.1
366,2021-10-20,-760.2,-2329.3
367,2021-10-20,-764.8,-2327.5
368,2021-10-20,-763.8,-2325.6
369,2021-10-20,-746.0,-2323.8
370,2021-10-21,-760.0,-2322.0
371,2021-10-21,-761.8,-2320.1
372,2021-10-21,-739.5,-2318.3
373,2021-10-22,-750.2,-2316.5
374,2021-10-22,-728.0,-2314.6
375,2021-10-22,-758.0,-2312.8
376,2021-10-22,-755.8,-2311.0
377,2021-10-22,-736.8,-2309.1
378,2021-10-22,-713.8,-2307.3
379,2021-10-25,-710.0,-2305.5
380,2021-10-25,-723.0,-2303.6
381,2021-10-25,-692.5,-2301.8
382,2021-10-26,-700.2,-2300.0
383,2021-10-26,-724.2,-2298.2
384,2021-10-26,-722.8,-2296.3
385,2021-10-26,-698.2,-2294.5
386,2021-10-26,-674.5,-2292.7
387,2021-10-26,-651.5,-2290.8
388,2021-10-26,-647.2,-2289.0
389,2021-10-27,-630.5,-2287.2
390,2021-10-27,-608.5,-2285.3
391,2021-10-27,-579.0,-2283.5
392,2021-10-27,-609.0,-2281.7
393,2021-10-28,-585.8,-2279.8
394,2021-10-28,-594.8,-2278.0
395,2021-10-28,-592.0,-2276.2
396,2021-10-29,-586.5,-2274.3
397,2021-10-29,-584.2,-2272.5
398,2021-10-29,-594.8,-2270.7
399,2021-11-01,-572.2,-2268.9
400,2021-11-01,-570.2,-2267.0
401,2021-11-01,-564.2,-2265.2
402,2021-11-02,-594.2,-2263.4
403,2021-11-02,-611.2,-2261.5
404,2021-11-02,-631.0,-2259.7
405,2021-11-02,-661.0,-2257.9
406,2021-11-02,-711.0,-2256.0
407,2021-11-03,-683.0,-2254.2
408,2021-11-03,-659.5,-2252.4
409,2021-11-03,-684.0,-2250.5
410,2021-11-03,-655.8,-2248.7
411,2021-11-04,-641.5,-2246.9
412,2021-11-04,-673.2,-2245.0
413,2021-11-04,-673.2,-2243.2
414,2021-11-04,-656.2,-2241.4
415,2021-11-04,-650.0,-2239.6
416,2021-11-04,-648.8,-2237.7
417,2021-11-04,-630.8,-2235.9
418,2021-11-04,-608.5,-2234.1
419,2021-11-05,-601.8,-2232.2
420,2021-11-05,-631.8,-2230.4
421,2021-11-05,-626.8,-2228.6
422,2021-11-07,-603.8,-2226.7
423,2021-11-08,-596.0,-2224.9
424,2021-11-08,-618.5,-2223.1
425,2021-11-08,-593.8,-2221.2
426,2021-11-09,-623.8,-2219.4
427,2021-11-09,-650.5,-2217.6
428,2021-11-09,-650.8,-2215.7
429,2021-11-09,-623.0,-2213.9
430,2021-11-09,-654.2,-2212.1
431,2021-11-09,-704.2,-2210.3
432,2021-11-09,-675.8,-2208.4
433,2021-11-09,-709.8,-2206.6
434,2021-11-09,-708.5,-2204.8
435,2021-11-10,-701.2,-2202.9
436,2021-11-10,-673.5,-2201.1
437,2021-11-10,-709.8,-2199.3
438,2021-11-10,-759.8,-2197.4
439,2021-11-10,-748.5,-2195.6
440,2021-11-10,-778.5,-2193.8
441,2021-11-10,-757.5,-2191.9
442,2021-11-10,-787.5,-2190.1
443,2021-11-10,-785.2,-2188.3
444,2021-11-11,-760.5,-2186.4
445,2021-11-11,-753.8,-2184.6
446,2021-11-11,-753.0,-2182.8
447,2021-11-12,-743.8,-2181.0
448,2021-11-12,-785.0,-2179.1
449,2021-11-12,-796.5,-2177.3
450,2021-11-12,-791.5,-2175.5
451,2021-11-15,-810.8,-2173.6
452,2021-11-15,-840.8,-2171.8
453,2021-11-15,-811.8,-2170.0
454,2021-11-15,-788.0,-2168.1
455,2021-11-15,-811.5,-2166.3
456,2021-11-15,-819.5,-2164.5
457,2021-11-15,-820.8,-2162.6
458,2021-11-15,-835.0,-2160.8
459,2021-11-15,-856.0,-2159.0
460,2021-11-15,-841.5,-2157.1
461,2021-11-16,-891.5,-2155.3
462,2021-11-16,-866.2,-2153.5
463,2021-11-16,-866.0,-2151.6
464,2021-11-16,-890.8,-2149.8
465,2021-11-16,-907.5,-2148.0
466,2021-11-16,-904.8,-2146.2
467,2021-11-17,-882.5,-2144.3
468,2021-11-17,-880.0,-2142.5
469,2021-11-17,-850.2,-2140.7
470,2021-11-17,-827.0,-2138.8
471,2021-11-18,-823.2,-2137.0
472,2021-11-18,-793.5,-2135.2
473,2021-11-18,-823.5,-2133.3
474,2021-11-18,-819.8,-2131.5
475,2021-11-18,-869.8,-2129.7
476,2021-11-18,-865.8,-2127.8
477,2021-11-19,-839.8,-2126.0
478,2021-11-19,-817.8,-2124.2
479,2021-11-19,-785.0,-2122.3
480,2021-11-21,-765.5,-2120.5
481,2021-11-22,-790.5,-2118.7
482,2021-11-22,-787.2,-2116.9
483,2021-11-22,-817.2,-2115.0
484,2021-11-22,-792.2,-2113.2
485,2021-11-22,-767.2,-2111.4
486,2021-11-22,-749.0,-2109.5
487,2021-11-22,-732.8,-2107.7
488,2021-11-22,-732.0,-2105.9
489,2021-11-23,-780.5,-2104.0
490,2021-11-23,-805.2,-2102.2
491,2021-11-23,-793.8,-2100.4
492,2021-11-23,-779.2,-2098.5
493,2021-11-23,-741.8,-2096.7
494,2021-11-23,-716.8,-2094.9
495,2021-11-23,-683.8,-2093.0
496,2021-11-23,-662.5,-2091.2
497,2021-11-23,-692.5,-2089.4
498,2021-11-23,-742.5,-2087.6
499,2021-11-23,-772.5,-2085.7
500,2021-11-23,-802.5,-2083.9
501,2021-11-23,-793.0,-2082.1
502,2021-11-23,-786.5,-2080.2
503,2021-11-23,-836.5,-2078.4
504,2021-11-24,-831.8,-2076.6
505,2021-11-24,-852.5,-2074.7
506,2021-11-24,-863.5,-2072.9
507,2021-11-24,-845.2,-2071.1
508,2021-11-24,-825.2,-2069.2
509,2021-11-24,-875.2,-2067.4
510,2021-11-24,-836.0,-2065.6
511,2021-11-24,-802.2,-2063.7
512,2021-11-24,-827.8,-2061.9
513,2021-11-24,-848.0,-2060.1
514,2021-11-24,-825.5,-2058.3
515,2021-11-24,-803.5,-2056.4
516,2021-11-25,-791.0,-2054.6
517,2021-11-25,-766.0,-2052.8
518,2021-11-26,-743.0,-2050.9
519,2021-11-26,-720.0,-2049.1
520,2021-11-26,-722.5,-2047.3
521,2021-11-26,-705.8,-2045.4
522,2021-11-26,-703.8,-2043.6
523,2021-11-26,-688.2,-2041.8
524,2021-11-26,-657.2,-2039.9
525,2021-11-26,-633.2,-2038.1
526,2021-11-26,-608.2,-2036.3
527,2021-11-26,-583.0,-2034.4
528,2021-11-26,-613.0,-2032.6
529,2021-11-26,-603.2,-2030.8
530,2021-11-26,-633.2,-2029.0
531,2021-11-28,-588.8,-2027.1
532,2021-11-28,-623.2,-2025.3
533,2021-11-28,-620.0,-2023.5
534,2021-11-28,-615.2,-2021.6
535,2021-11-29,-583.0,-2019.8
536,2021-11-29,-559.5,-2018.0
537,2021-11-29,-530.0,-2016.1
538,2021-11-29,-561.8,-2014.3
539,2021-11-29,-548.5,-2012.5
540,2021-11-30,-578.5,-2010.6
541,2021-11-30,-550.8,-2008.8
542,2021-11-30,-527.5,-2007.0
543,2021-11-30,-546.8,-2005.1
544,2021-11-30,-566.5,-2003.3
545,2021-11-30,-616.5,-2001.5
546,2021-11-30,-591.5,-1999.6
547,2021-11-30,-621.5,-1997.8
548,2021-11-30,-595.8,-1996.0
549,2021-11-30,-625.8,-1994.2
550,2021-11-30,-625.0,-1992.3
551,2021-11-30,-623.0,-1990.5
552,2021-11-30,-630.0,-1988.7
553,2021-11-30,-629.2,-1986.8
554,2021-11-30,-607.5,-1985.0
555,2021-11-30,-606.0,-1983.2
556,2021-12-01,-605.5,-1981.3
557,2021-12-01,-608.2,-1979.5
558,2021-12-01,-597.2,-1977.7
559,2021-12-01,-614.2,-1975.8
560,2021-12-01,-601.8,-1974.0
561,2021-12-01,-631.8,-1972.2
562,2021-12-01,-661.8,-1970.3
563,2021-12-01,-691.8,-1968.5
564,2021-12-01,-679.5,-1966.7
565,2021-12-01,-709.5,-1964.9
566,2021-12-01,-686.0,-1963.0
567,2021-12-01,-716.0,-1961.2
568,2021-12-01,-692.2,-1959.4
569,2021-12-01,-666.5,-1957.5
570,2021-12-01,-696.5,-1955.7
571,2021-12-01,-687.0,-1953.9
572,2021-12-01,-708.2,-1952.0
573,2021-12-01,-738.2,-1950.2
574,2021-12-01,-719.5,-1948.4
575,2021-12-01,-697.8,-1946.5
576,2021-12-01,-727.0,-1944.7
577,2021-12-01,-736.5,-1942.9
578,2021-12-01,-727.0,-1941.0
579,2021-12-01,-704.0,-1939.2
580,2021-12-02,-686.2,-1937.4
581,2021-12-02,-685.2,-1935.6
582,2021-12-02,-662.5,-1933.7
583,2021-12-02,-692.5,-1931.9
584,2021-12-02,-650.5,-1930.1
585,2021-12-02,-620.5,-1928.2
586,2021-12-02,-650.5,-1926.4
587,2021-12-02,-680.5,-1924.6
588,2021-12-02,-656.2,-1922.7
589,2021-12-02,-686.2,-1920.9
590,2021-12-02,-644.8,-1919.1
591,2021-12-02,-578.5,-1917.2
592,2021-12-02,-538.8,-1915.4
593,2021-12-02,-588.8,-1913.6
594,2021-12-02,-608.0,-1911.7
595,2021-12-02,-571.0,-1909.9
596,2021-12-02,-546.8,-1908.1
597,2021-12-02,-509.5,-1906.3
598,2021-12-02,-509.2,-1904.4
599,2021-12-02,-539.2,-1902.6
600,2021-12-02,-538.8,-1900.8
601,2021-12-03,-536.2,-1898.9
602,2021-12-03,-504.5,-1897.1
603,2021-12-03,-481.2,-1895.3
604,2021-12-03,-429.2,-1893.4
605,2021-12-03,-459.2,-1891.6
606,2021-12-03,-436.8,-1889.8
607,2021-12-03,-466.8,-1887.9
608,2021-12-03,-442.8,-1886.1
609,2021-12-03,-418.5,-1884.3
610,2021-12-03,-448.5,-1882.4
611,2021-12-03,-498.5,-1880.6
612,2021-12-03,-473.0,-1878.8
613,2021-12-03,-444.8,-1877.0
614,2021-12-03,-474.8,-1875.1
615,2021-12-03,-445.2,-1873.3
616,2021-12-03,-414.5,-1871.5
617,2021-12-05,-388.2,-1869.6
618,2021-12-05,-392.5,-1867.8
619,2021-12-05,-392.2,-1866.0
620,2021-12-06,-379.2,-1864.1
621,2021-12-06,-352.2,-1862.3
622,2021-12-06,-352.5,-1860.5
623,2021-12-06,-382.5,-1858.6
624,2021-12-06,-412.5,-1856.8
625,2021-12-06,-451.5,-1855.0
626,2021-12-06,-446.8,-1853.1
627,2021-12-06,-418.5,-1851.3
628,2021-12-06,-468.5,-1849.5
629,2021-12-06,-444.2,-1847.6
630,2021-12-06,-494.2,-1845.8
631,2021-12-06,-468.2,-1844.0
632,2021-12-06,-439.5,-1842.2
633,2021-12-06,-414.2,-1840.3
634,2021-12-06,-464.2,-1838.5
635,2021-12-06,-426.5,-1836.7
636,2021-12-06,-424.5,-1834.8
637,2021-12-06,-408.5,-1833.0
638,2021-12-07,-422.5,-1831.2
639,2021-12-07,-413.5,-1829.3
640,2021-12-07,-463.5,-1827.5
641,2021-12-07,-457.2,-1825.7
642,2021-12-07,-439.5,-1823.8
643,2021-12-07,-489.5,-1822.0
644,2021-12-07,-506.0,-1820.2
645,2021-12-07,-495.2,-1818.3
646,2021-12-07,-504.0,-1816.5
647,2021-12-07,-503.2,-1814.7
648,2021-12-08,-468.2,-1812.9
649,2021-12-08,-437.2,-1811.0
650,2021-12-08,-467.2,-1809.2
651,2021-12-08,-444.0,-1807.4
652,2021-12-08,-432.8,-1805.5
653,2021-12-08,-439.0,-1803.7
654,2021-12-08,-418.5,-1801.9
655,2021-12-08,-417.2,-1800.0
656,2021-12-09,-412.0,-1798.2
657,2021-12-09,-442.0,-1796.4
658,2021-12-09,-441.2,-1794.5
659,2021-12-09,-419.2,-1792.7
660,2021-12-09,-417.0,-1790.9
661,2021-12-09,-407.8,-1789.0
662,2021-12-10,-385.5,-1787.2
663,2021-12-10,-363.5,-1785.4
664,2021-12-10,-393.5,-1783.6
665,2021-12-10,-364.8,-1781.7
666,2021-12-10,-384.2,-1779.9
667,2021-12-10,-361.2,-1778.1
668,2021-12-12,-382.8,-1776.2
669,2021-12-12,-378.5,-1774.4
670,2021-12-13,-408.5,-1772.6
671,2021-12-13,-384.5,-1770.7
672,2021-12-13,-358.5,-1768.9
673,2021-12-13,-369.2,-1767.1
674,2021-12-13,-399.2,-1765.2
675,2021-12-13,-395.5,-1763.4
676,2021-12-14,-425.5,-1761.6
677,2021-12-14,-402.2,-1759.7
678,2021-12-14,-432.2,-1757.9
679,2021-12-14,-403.8,-1756.1
680,2021-12-14,-433.8,-1754.3
681,2021-12-14,-416.0,-1752.4
682,2021-12-14,-420.5,-1750.6
683,2021-12-14,-391.5,-1748.8
684,2021-12-14,-420.5,-1746.9
685,2021-12-14,-442.5,-1745.1
686,2021-12-14,-419.2,-1743.3
687,2021-12-15,-449.2,-1741.4
688,2021-12-15,-446.0,-1739.6
689,2021-12-15,-420.8,-1737.8
690,2021-12-15,-450.8,-1735.9
691,2021-12-15,-432.2,-1734.1
692,2021-12-15,-409.8,-1732.3
693,2021-12-15,-387.0,-1730.4
694,2021-12-15,-348.5,-1728.6
695,2021-12-15,-324.8,-1726.8
696,2021-12-15,-314.8,-1725.0
697,2021-12-16,-340.0,-1723.1
698,2021-12-16,-367.5,-1721.3
